cleaned_text,label,lexicon_label
paksa benci loe bodoh harus muslim jalan syariat amp,cyberbullying,cyberbullying
wakakakka dupe nya ksh nyuruh siswa pake ai utk ngerjain ga males bodoh ya aja ngerasa bodoh klo dikit nanya gampang ai,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
egois coba ngapa jd lbh mentingin tar nikah gmn makan km gabisa masak bodoh bgt u kepala keluarga ya bantu ngapa jd yg open nikah jg blm sbg pacar jg ngasih apasih km yg beli jg,cyberbullying,cyberbullying
orang bodoh ninggalin lu lu pintar ngelepasin,cyberbullying,cyberbullying
hahaha omon omon sadar lo rakyat bodoh tolol skrng nikmat sengsara,cyberbullying,cyberbullying
hilang job logic betul is imran hang hang hilang job is due to laku your attitude how you handle this benda bodoh nk amuk so yeah there is no such thing benda comedy orng tu tiber kau nk hilang job randomly,cyberbullying,cyberbullying
nda teori saham d pengaruh buzzer hoax real kondisi perintah yg bodoh,cyberbullying,cyberbullying
benda salah org bodoh,cyberbullying,cyberbullying
ngajakngajak bodoh ngga otak kayak elu,cyberbullying,cyberbullying
bodoh ngajakngajak wapres,cyberbullying,cyberbullying
tolol dongo ya match beda hari doang emang kagak masuk akal bodoh,cyberbullying,cyberbullying
iya elu emang bodoh tolol sepet pilin kagak ngerti bukti klinis man ngeerti tolol,cyberbullying,cyberbullying
ratu naga ni mmg dr kalang bodoh xleh diajaryg samaxde yg cerdik,cyberbullying,cyberbullying
goblok banget ya anggap orang bodoh dikibulin mending mah rampas aset kasih hukum mati udah selesai sidang,cyberbullying,cyberbullying
drama gak alih bahasa ya mundur pbb mu tenang gak ngurusin negara indonesia ratarata type manusia bodoh kuat kuasa rakussusah atur ndableg semua episode,cyberbullying,cyberbullying
gw kadang mikir iring zaman bodoh gimana sih,cyberbullying,cyberbullying
kalo militer atur sipil tukang kayu oligarki sang anak umpama pimpin kebun binatang anggap rakyat bodoh diam bodoh kobarkanapirevolusi,cyberbullying,cyberbullying
udah bener sih pake bahasa inggris satir dukung kritik pake bahasa indonesia jg ga kena sih uda beda baris musuh gada rangkul mending kuatin aja baris banding usaha c,non-cyberbullying,non-cyberbullying
org bodoh xde otak je yg suka benda mcm ni,cyberbullying,cyberbullying
bodoh tenang beliau bodoh,cyberbullying,cyberbullying
gibran udah gapunya harga manamana dibodohin emang bodoh bodoh yayang milih,cyberbullying,cyberbullying
kaum benci bikin hoax pake aikami bodoh kirasakit hati akut,cyberbullying,cyberbullying
moga lindung ga orang bodoh orang dzalim tsb,cyberbullying,cyberbullying
bodoh kali kader mu emang pas rekrut kader gak cek iq nya gak psikotes,cyberbullying,cyberbullying
paslon sisi jelek masingmasing ga ekspek aja org yg milih jelek yg jelek alias milih pimpin aja bodoh bgt udh disuguhin rekam jejak yg yg,cyberbullying,cyberbullying
orang bodoh pilih orang bodoh,cyberbullying,cyberbullying
bodoh ngajakngajak hmmm ngga habis thinking,cyberbullying,cyberbullying
ngejelasin tnpa bikin gue ngerasa bodoh,cyberbullying,cyberbullying
bodoh lo alami pacar bodoh wkwk pas sd emang gue pacar bocah udah gede renti pacar ok back to topic gue study tour udah pulang renti tempat gue,cyberbullying,cyberbullying
judi online org bodoh haram adiksi dosa kalah judi online stress uang habis ngutang pinjol biar judi harap uang menang kagak hutang smakin riba stress tuhan teror pinjol pilih bundir masuk nerakoy,cyberbullying,cyberbullying
pantes buzzer anjir bodoh sejarah aja dapet kocak pantes milih jahat ham,cyberbullying,cyberbullying
yg bilang bayar utang pas trainee ga tau sih isi kontrak nya gimana emang grup nya hasil gaji everglow lumayan pas salah agens yg bodoh tbtb hiatus,cyberbullying,cyberbullying
duh kali bodoh kalo cinta ma org,cyberbullying,cyberbullying
b c b yg fhm ramadan tu patut hormat faham golong yg puasa wajib imsak sudut fiqh tu count as bodoh,cyberbullying,cyberbullying
news tu rata for weeks months tak kau nak ckp kau katak tempurung ni hahahahahhaha lawak la mah melayu ni sampah zaman now bodoh sombong sepah,cyberbullying,cyberbullying
pasang aja gue dibohongin ujung ujung ditinggalin malu kali ya pasang bodoh gue,cyberbullying,cyberbullying
ga baca berita hati resah perintah ngelakuin bodoh,cyberbullying,cyberbullying
israel lambe bodoh kaum puja,cyberbullying,cyberbullying
konon ckp kt org moga puasa kau terima kau siaa dah bangang org educatekan ckp je terima kasih tu nama bodoh sombong ni tukang baca je eh apahal sakit educate kau elok je ckp nak support scammer lol,cyberbullying,cyberbullying
hahaha nmpk la kau bodoh toxic haha,cyberbullying,cyberbullying
allah bodoh bgt tu orang,cyberbullying,cyberbullying
melayu bodoh educate kau sentap ckp la tau pasal current issues etc influencers politician wey mah mat malas nak amik tau pasal jenis tu ye but ni xkan tinggal pasal hot cases specially hijannah and tega tipu,cyberbullying,cyberbullying
cek akun gw deh lu ngatain gw buzzer lu ga baca bodoh dr voters krna nyimpulin dr doang,cyberbullying,cyberbullying
manusia yg pintar integritas tp jd terna bodohjubir presiden hapus tweet yg tolol,cyberbullying,cyberbullying
bobotoh bo bocah bo bodoh tolol haram,cyberbullying,cyberbullying
hasil meng gemoy bikin joget orgasme jelantah rakyat jelata yg bodoh,cyberbullying,cyberbullying
mmat ksh dlm ni laki bodoh hahaha kau nak rahsiakan pi ambil video gambar semuabukan nya gambar dr tgn ksr haha,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
enak jidat aja mending sehat didik bodoh,cyberbullying,cyberbullying
klo ngehate bawa bawa kelam gak marah anggap bodoh hate aja klo ku block,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
prabowo damping sby jokowi ancam dlm tekan ormas yg larang jokowi unt bayar anis masuk dlm kabinet spya ormas larang legal jgan heran klou berita hoax s,non-cyberbullying,non-cyberbullying
beza panggil utk artis n panggil fans bodoh ucop,cyberbullying,cyberbullying
dh beza kot panggil utk fans n panggil artis dh bodoh sgt ni,cyberbullying,cyberbullying
ga bodoh,cyberbullying,cyberbullying
gue guru dah busa ngasih tau murid ga pakai ai bikin otak ga kreativitas turun ai sebenernya gak salah nama teknologi maju sampe manusia malas bodoh,cyberbullying,cyberbullying
dikatain bodoh dungu idiot balas dendam bijak hancur generasi dek tolong paham putus dampak serius generasi,cyberbullying,cyberbullying
ya tuhan ga nyembah berhala batu hajar aswad berhala tuhan saking benci sampe bodoh ya,cyberbullying,cyberbullying
cat banner sepakat mou tinggal tunggu tahap tahap manejemen awal bahas gubernur bodoh,cyberbullying,cyberbullying
bodoh banget jrit inimah struggle tp oon,cyberbullying,cyberbullying
kadang era buka informasi banding negara rakyat anggap bodoh,cyberbullying,cyberbullying
kerja bodoh org bodoh shjsyiar dr amal agama dr amal karut marut,cyberbullying,cyberbullying
bodoh lawan ajar islam,cyberbullying,cyberbullying
joyboy tolol mah mending luffy bodoh kalo tindas tentang,cyberbullying,cyberbullying
serius intelektual jabat bodoh kaya klo bijak percaya publik aja rendah yaa gimana investor ga kabur,cyberbullying,cyberbullying
suara rakyat yg sih alibi juang suara rakyat rapat apa ruu gaduh suara rakyat perintah bodoh tolol,cyberbullying,cyberbullying
halo kak alya jujur kakak banget ngerasa bingung kak sedih ngerasa bodoh banget sampe gabisa lolos snbp orang prang berekspektasi pintar ga lolos hehe gatau te,cyberbullying,cyberbullying
habis tu yg berkerusi roda nak jalan raya bodoh otak enabler ni,cyberbullying,cyberbullying
lu yg bodoh negara yg menjdi tuju wisata ziarah untung ekonomi kek vatikan umat katolik india anut hindu arab saudi dpt manfaat ekonomi haji umrah tp uang yg bkn cma untk untung komersial,cyberbullying,cyberbullying
hold spending putar uang henti supply and demand mandek bijak bagi basket sesuai masuk invest dispending maaf cuman anak bodo,non-cyberbullying,non-cyberbullying
yg masuk pasu asing rontok karna ketua dpr bodoh,cyberbullying,cyberbullying
nama bodoh dukung kau stupid,cyberbullying,cyberbullying
nama bodoh tahan bodoh pinternya d,cyberbullying,cyberbullying
tibehhhhhhhhh walaun tok tok kau ni kau ni sah geng satu suka pau bangsa da dpt lepas tu play victim bodoh,cyberbullying,cyberbullying
jabat bodoh,cyberbullying,cyberbullying
bodoh laku percaya diripengalihan isu investor gak percaya,cyberbullying,cyberbullying
rakyat bodoh amp,cyberbullying,cyberbullying
gendut bodoh omon gila,cyberbullying,cyberbullying
pagi pagi org nak sahur dah kacau mood gi sahur rumah kau la babi oh lupa rumah kau duduk tu tumpang rumah takde rumah eh bodoh business je juta juta rumah takleh afford bangang,cyberbullying,cyberbullying
time sahur dah baca statement bodoh,cyberbullying,cyberbullying
yup bodoh bodoh wujud murni kayak alkohol nyiram luka,cyberbullying,cyberbullying
org tua ni je yg semak si mamat bodoh anak ni je gi mampos la babi ekor bangsat,cyberbullying,cyberbullying
x payah layan haters bodoh tu min,cyberbullying,cyberbullying
tolak sempat project laksana sungguh bodoh ninestar direspects fans fansfightback,cyberbullying,cyberbullying
pimpin bodoh udh jokowi pimpin bodoh,cyberbullying,cyberbullying
sebenernya beneran ga pikir solusi nya bodoh emang pura bodoh ga pikir solusi nya ngelindungin wowo dkk,cyberbullying,cyberbullying
mending stop deh henti bodoh abai asa,cyberbullying,cyberbullying
samping aksi yg bodoh siasia at least deh harga kayak si presiden yg bikin statement pasar saham ga ngaruh apaapa rakyat desa ga saham pikir rakyat bahagia bansos mbg,cyberbullying,cyberbullying
hebaat donk biar bodoh lebih politik voc,cyberbullying,cyberbullying
sok kritis sok ngerti politik asli bodoh pinter jago ngomong doang ya rekan kerja gue,cyberbullying,cyberbullying
pikir bodoh ya org org,cyberbullying,cyberbullying
oh play boy udah genit duluan play hard to get genit harta ditaking tarik ulur wanita butuh aku wanita bodoh ikat smart biar aja pergi,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
emg beneran bodoh kak ipk nya aja segitu angka gabis bohong,cyberbullying,cyberbullying
kyk ngak harga banget bejir bayar ukt tu mahal mreka kek bodoh lambat mahasiswa posisi udh smester yg bentar do bantuin mala pke acara males tanggap,cyberbullying,cyberbullying
tani katakata mu sok pinter bodoh ngomong bodoh kaya gin cari harga hasil tani mahal mana,cyberbullying,cyberbullying
tektok bro emang isi nya gaslighting banyak ya kalo gagas kaya gitu bawa x liat banget bodoh nya,cyberbullying,cyberbullying
bodoh dokter tifa perry awianda,cyberbullying,cyberbullying
raportnya murid bodoh,cyberbullying,cyberbullying
dh bodoh bodoh dandog ni,cyberbullying,cyberbullying
lock orang bodoh layan,cyberbullying,cyberbullying
oalah emang udah niat matiin rakyat pelanpelan bikin rakyat bodoh biar urus lancar nyala banget nih neraka,cyberbullying,cyberbullying
jd bangang wei raya ni agama lagu raya tu rujuk raya which is again agama bodoh bodoh,cyberbullying,cyberbullying
jabat krn give away kompetisi gak laku pola pikir amp,non-cyberbullying,non-cyberbullying
bodoh banget anjing,cyberbullying,cyberbullying
ni anggap bodoh ngelatur aja lo dirut,cyberbullying,cyberbullying
wapres gin ya indonesia generasi males amp,non-cyberbullying,non-cyberbullying
bodoh tolol gabung,cyberbullying,cyberbullying
bodoh takde survival instinct,cyberbullying,cyberbullying
dukung program bantai covid korban orang orang bodoh,cyberbullying,cyberbullying
notednya awas ketat negara sih yg awas ketat tolong kalo pintar bodoh,cyberbullying,cyberbullying
enak banget njir buzzer gitu doang dapet duit wkwk syarat jg gampang bodoh miskin,cyberbullying,cyberbullying
kayak ken orang bodoh deh gasadar nyari ai bikin otak malas berfikir ujung ga nalar alias bodoh wakawakawk,cyberbullying,cyberbullying
bilang gak nulis nsfw puasa beneran bodoh banget gak sanggup ken keluarin,cyberbullying,cyberbullying
orang bikin narasi bodoh kayak gitu percaya pasu medsos bodoh kayak ente bukti indonesia ga dgn negara maju otak jari mulut hati kotor,cyberbullying,cyberbullying
bangun tidur aja berita bodoh asal perintah uji ramadhan berat ya negara bubar aja ya gausah nunggu kapankapan capek bgt liat presiden bodoh anak sd,cyberbullying,cyberbullying
biasa ketidakpedulianku kala aku putus bodoh bodoh hindar pikir selagi tunggu si jejaka ko beres,cyberbullying,cyberbullying
org aplikasi kandang monyt ga ngaruh bang ga makan ihsg mrk prabsky saham larang ehe bukti bodoh tular ya gengs,cyberbullying,cyberbullying
bodoh emang hak bangsa banh,cyberbullying,cyberbullying
y capek jg kak ngecounter statement bodoh gt mending diem trus liat smp kebodohanya alir tunggu smp yg bnr power to stop it,cyberbullying,cyberbullying
yaaa kalo orang bodoh pimpin,cyberbullying,cyberbullying
salam subuh selamat pagi salam selamat israel bodoh jahanam,cyberbullying,cyberbullying
goblok bgt agens bodoh,cyberbullying,cyberbullying
subuh subuh udah bodoh sampe klarifikasi asprak,cyberbullying,cyberbullying
simpul pimpin mmg bodoh,cyberbullying,cyberbullying
presiden bodoh capeeek banget,cyberbullying,cyberbullying
wkkwkwk bodoh banget sih,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
negeri bodoh yg tiktok,cyberbullying,cyberbullying
please gak sih lu tuh salahin agama orang tua lu kolot orang tua lu bodoh agama agama lu benci,cyberbullying,cyberbullying
gue bodoh banget ya allah,cyberbullying,cyberbullying
gua baca komen seliwer kaya lu paham ga sih kalo ga paham diem gua udah geram banget baca komen bodoh kaya gitu,cyberbullying,cyberbullying
sampe kek orang bodoh,cyberbullying,cyberbullying
pikir jabat renta tu jahat purapura bodoh bareskrim suruh mantau pasar saham statement kunjung don bej jahat beneran bodoh,cyberbullying,cyberbullying
orang indo mayoritas bodoh lh wkkww mudh bohong dg sepele spt,cyberbullying,cyberbullying
gimana ya orang bodoh,cyberbullying,cyberbullying
jngn didik uang didik sejarah aja sd bohong tuju perintah rakyat bodoh miskin,cyberbullying,cyberbullying
mudah salah orang buruk komentar bodoh,cyberbullying,cyberbullying
beneran bodoh,cyberbullying,cyberbullying
hasil nyata revolusi mental si plonga plongo mulyono rakyat sengaja miskin bodoh atur begal pajak si miskin gantung dgn bansos mudah setir miris,cyberbullying,cyberbullying
tula suruh bodoh takpe jela bodoh ea salah janji bahagian kau kau dah yg kau dah janji,cyberbullying,cyberbullying
bodoh natural,cyberbullying,cyberbullying
orang bodoh,cyberbullying,cyberbullying
halahhhh buzzerp preeettt ga mainanx cuman narasi hoax asupan orang bodoh,cyberbullying,cyberbullying
pimpin bodoh kekanakkanakan,cyberbullying,cyberbullying
wkkk orng bodoh ya kayak tikus curut kasi bukti bilang yaman negara gotong royong islam ajar yaman bodoh persis jokowi,cyberbullying,cyberbullying
bodoh nampaknya lembaga pm mesti lelaki melayu islam,cyberbullying,cyberbullying
bener sih klo good looking bodoh temennya temen kelas ku good lookingpinter tp mes akhlak bikin gedeg heran tp aja temenan ama,cyberbullying,cyberbullying
prabowo emang bodoh gimana anak sma mikir investor ngasih dampak gede bangun indo kocak untung gapernah milih,cyberbullying,cyberbullying
inflasi bodoh bolos lu ye pas ekonomi,cyberbullying,cyberbullying
kek netizen x emang bodoh si ga mampu argumentasi mending netizen fesbuk argumentasi ngawur,cyberbullying,cyberbullying
org bodoh saran bodoh,cyberbullying,cyberbullying
bodoh banget ya gw,cyberbullying,cyberbullying
bodoh butuh terapi,cyberbullying,cyberbullying
org bodoh,cyberbullying,cyberbullying
jahat bodoh,cyberbullying,cyberbullying
la u nak wish i mmng i bodoh je hahaha,cyberbullying,cyberbullying
ngajak bodoh bareng,cyberbullying,cyberbullying
hey bodoh taman rumah dah bazaar ramadan dah rumah yg nak pergi kl yg sesak tu,cyberbullying,cyberbullying
si bodoh emang bodoh,cyberbullying,cyberbullying
goblokkkk bodohhhhh tolollll ingat rumor sebar benci sebar orang bodoh terima orang idiot rektor ugm tegas jkw alumnus ugm ijazah sarjana jkw ben,cyberbullying,cyberbullying
jijik mata orang bodoh otak,cyberbullying,cyberbullying
biar liat kerja aja bang gua pribadi ngeliatnya bodoh bgt,cyberbullying,cyberbullying
lu kuasa masyarakat yg bodoh kaya,cyberbullying,cyberbullying
orang bodoh lagak pintar kerja kerja kerja ambyar,cyberbullying,cyberbullying
tram bodoh hhahaha,cyberbullying,cyberbullying
indonesia cemas anak bangsa bikin bodoh guna ai nii bikin siswa males baca buku tinggal copas lgsg muncul tolol ngajak,cyberbullying,cyberbullying
arang bodoh jijik,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
oh emngnya bodoh kyk lo najiezzz ga level,cyberbullying,cyberbullying
bro bodoh ngajak ngajak,cyberbullying,cyberbullying
keledai ya keledai jatuh dilobang orang yg bodoh keledai pintar cicunguk kalo pimpin hidup gelimang ndas simplekan,cyberbullying,cyberbullying
bodoh sih,cyberbullying,cyberbullying
udah tau nama kredit hasil org bodoh mn yg gamau nama kredit saing pas buat lagu ga pilih masuk dlm lagu klo gampang masuk harga dampak lagu,cyberbullying,cyberbullying
bodoh banget pls gal kuattt,cyberbullying,cyberbullying
aja kali yg suka sm strategi bodoh prabowo ngehina anies aja diem aja emng buta aja mata hati bodoh,cyberbullying,cyberbullying
ketawa aja sih liat negara ancur bodoh yg ngeyel kalo bodoh ajar pintar gapapa org bodoh tp ga ngerasa hih,cyberbullying,cyberbullying
ya haters tuh suka bodoh wkwkwk,cyberbullying,cyberbullying
dapet jatah piket masak nasi pake panci sahur utk asrama malem nasi dah mateng tinggal dimatiin aja kompor nya eh bodoh nya tidur alhasil nyampe jam kompor nyala nasi dah gosong,cyberbullying,cyberbullying
perintah kesini bodoh,cyberbullying,cyberbullying
buset yg bener aja orang mah ngasih edukasi ttg saham biar melek paham ttg ekonomi negara bodoh ya bodoh pelihara,cyberbullying,cyberbullying
angin eh baca rakyat bodoh salah mangsa malang obviously yg pi langgar tu salah faham do bodoh ni aneka,cyberbullying,cyberbullying
anak anak sengaja bikin bodoh biar mudah tipu manipulasi depan,cyberbullying,cyberbullying
orang bodoh atas gambar,cyberbullying,cyberbullying
kalo ngg ngalamin khianat sodara ya gitu kak ngg pikir rasional yg beda orang bodoh orang pinter ya orang pinter ngg ngrasain tp ngelogika kalo kaya k,cyberbullying,cyberbullying
org bodoh ii,cyberbullying,cyberbullying
alarm phone bodoh,cyberbullying,cyberbullying
negara dzolim rawat akal rusak penting ego bodoh,cyberbullying,cyberbullying
kayak ali bin abi thalib orang bodoh marah akal sehat,cyberbullying,cyberbullying
anjir kalo anak gw gw gampar aja kayak konten triggering bodoh,cyberbullying,cyberbullying
otak mana bodoh,cyberbullying,cyberbullying
zionist mmg bodoh haha,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
aduh bodoh kali its a freaking sign wo lu gila banget ah sebel,cyberbullying,cyberbullying
bener sengaja bikin bodoh lapar bansos mbg solusi instan nih sejarah yg era mu jubir way kanan,cyberbullying,cyberbullying
otak mata kaki anjir bodoh,cyberbullying,cyberbullying
wapres bodoh planet berani bicara anak sd sma bicara mahasiswa si bodoh i,cyberbullying,cyberbullying
patut panggil bodoh ret baca,cyberbullying,cyberbullying
lelaki lahir lahir bodoh puasa nak catcall camsial,cyberbullying,cyberbullying
eh kalo bkn attitude tp bodoh,cyberbullying,cyberbullying
iua bodoh kak,cyberbullying,cyberbullying
pergi mati kau planning nk kwin x halal tu x halal la bodoh,cyberbullying,cyberbullying
salah dampak baca dgn gender yg oknum valuenya kurang edukasi bully bodoh jijik ya iya bubblenya yo akun nya protect aja biar septictank nya penuh ledak,cyberbullying,cyberbullying
saking kamu bodoh zarry guru malas skrg bukti jelek hati jelek otak ngga mikir so it was a good riddance back then,cyberbullying,cyberbullying
urus negara kek urus main kata rakyat bodoh jd urus negara kaga tp jd beban iye tai emg tikus tikus,cyberbullying,cyberbullying
salim bodoh,cyberbullying,cyberbullying
guru susah susah terap sistem jujur eh pimpin pake ai bodoh gak sih,cyberbullying,cyberbullying
bodoh bin tolol wowo fufufafa,cyberbullying,cyberbullying
hijrah cinta wattpad,non-cyberbullying,non-cyberbullying
perisai wattpad,non-cyberbullying,non-cyberbullying
undang tukar wattpad,non-cyberbullying,non-cyberbullying
ga pencet y orang bodoh,cyberbullying,cyberbullying
lha ilmu wawas masak pasar bodoh banget,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
stop liat bodoh main,cyberbullying,cyberbullying
